road_id,geometry_class,road_type,road_name_class,full_road_name,road_name_label,road_name_prefix,road_name_body,road_name_type,road_name_suffix,route_name_body,route_name_number,route_name_alpha,route_name_suffix,full_road_name_ascii,road_name_label_ascii,road_name_body_ascii
1795657,Addressing Road,Unknown,Road,Kempton Street,Kempton St,,Kempton,Street,,,,,,Kempton Street,Kempton St,Kempton
1795452,Addressing Road,Unknown,Road,Titoki Grove,Titoki Grv,,Titoki,Grove,,,,,,Titoki Grove,Titoki Grv,Titoki
1795455,Addressing Road,Unknown,Road,Woodward Street East,Woodward St E,,Woodward,Street,East,,,,,Woodward Street East,Woodward St E,Woodward
1795658,Addressing Road,Unknown,Road,Yule Grove,Yule Grv,,Yule,Grove,,,,,,Yule Grove,Yule Grv,Yule
1795517,Addressing Road,Unknown,Road,Whakarua Road,Whakarua Rd,,Whakarua,Road,,,,,,Whakarua Road,Whakarua Rd,Whakarua
1795527,Addressing Road,Unknown,Road,Shooting Butts Road,Shooting Butts Rd,,Shooting Butts,Road,,,,,,Shooting Butts Road,Shooting Butts Rd,Shooting Butts
1795513,Addressing Road,Unknown,Road,Wilkie Street,Wilkie St,,Wilkie,Street,,,,,,Wilkie Street,Wilkie St,Wilkie
1795659,Addressing Road,Unknown,Road,Loasby Place,Loasby Pl,,Loasby,Place,,,,,,Loasby Place,Loasby Pl,Loasby
1795567,Addressing Road,Unknown,Road,Hecklers Road,Hecklers Rd,,Hecklers,Road,,,,,,Hecklers Road,Hecklers Rd,Hecklers
1795605,Addressing Road,Unknown,Road,Pukio West Road,Pukio West Rd,,Pukio West,Road,,,,,,Pukio West Road,Pukio West Rd,Pukio West
1795626,Addressing Road,Unknown,Road,No 1 Line,No 1 Line,,No 1,Line,,,,,,No 1 Line,No 1 Line,No 1
1795655,Addressing Road,Unknown,Road,Mole Street,Mole St,,Mole,Street,,,,,,Mole Street,Mole St,Mole
1795667,Addressing Road,Unknown,Road,Ohio Street,Ohio St,,Ohio,Street,,,,,,Ohio Street,Ohio St,Ohio
1795683,Addressing Road,Unknown,Road,Malcolm Street,Malcolm St,,Malcolm,Street,,,,,,Malcolm Street,Malcolm St,Malcolm
3078957,Addressing Road,Unknown,Road,Romina Way,Romina Way,,Romina,Way,,,,,,Romina Way,Romina Way,Romina
1795467,Addressing Road,Unknown,Road,Crawford Street,Crawford St,,Crawford,Street,,,,,,Crawford Street,Crawford St,Crawford
1795460,Addressing Road,Unknown,Road,Clifford Square,Clifford Sq,,Clifford,Square,,,,,,Clifford Square,Clifford Sq,Clifford
1795630,Addressing Road,Unknown,Road,Battersea Road,Battersea Rd,,Battersea,Road,,,,,,Battersea Road,Battersea Rd,Battersea
1795686,Addressing Road,Unknown,Road,Greenaway Place,Greenaway Pl,,Greenaway,Place,,,,,,Greenaway Place,Greenaway Pl,Greenaway
1800319,Addressing Road,Unknown,Road,Hickson Street,Hickson St,,Hickson,Street,,,,,,Hickson Street,Hickson St,Hickson
3009387,Addressing Road,Unknown,Road,Fitzherbert Street,Fitzherbert St,,Fitzherbert,Street,,,,,,Fitzherbert Street,Fitzherbert St,Fitzherbert
3078951,Addressing Road,Unknown,Road,Top Stone Lane,Top Stone Lane,,Top Stone,Lane,,,,,,Top Stone Lane,Top Stone Lane,Top Stone
1795607,Addressing Road,Unknown,Road,Raho Ruru Road,Raho Ruru Rd,,Raho Ruru,Road,,,,,,Raho Ruru Road,Raho Ruru Rd,Raho Ruru
3083307,Addressing Road,Unknown,Road,Goodnight Lane,Goodnight Lane,,Goodnight,Lane,,,,,,Goodnight Lane,Goodnight Lane,Goodnight
1795493,Addressing Road,Unknown,Road,Card Crescent,Card Cres,,Card,Crescent,,,,,,Card Crescent,Card Cres,Card
